ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals
1113.HK,44.32,HOLD,-5,39.6,-0.405,47.16,45.85,-10.6,-5.38,-6.73,10.74,0.55,11.994879,-0.075,0.384,"['RSI=39.6 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=-10.6%(買いシグナル)']"
035720.KS,47750.0,SELL,-30,35.7,-213.761,52964.66,56448.45,19.0,-6.92,-17.7,-17.84,0.38,27.404202,,0.09,"['RSI=35.7 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=19.0%(買いシグナル)', '1ヶ月モメンタム -17.7%(強い下落)']"
196170.KS,353500.0,HOLD,-10,41.4,23.473,375125.0,406150.0,25.4,-0.42,-12.06,-17.91,0.63,,,,"['RSI=41.4 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -12.1%(強い下落)']"
086520.KS,150900.0,HOLD,-25,48.0,-3007.003,161655.0,142388.0,28.6,3.43,-11.91,53.35,0.31,,,,"['RSI=48.0 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム -11.9%(強い下落)']"
0006.HK,60.45,HOLD,-5,43.5,-0.298,62.24,60.68,-3.5,-1.63,-3.2,10.92,0.4,18.297222,0.026,-0.099,"['RSI=43.5 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=-3.5%(買いシグナル)']"
009540.KS,373000.0,HOLD,-15,37.8,-3436.48,420590.35,416733.06,1.4,-11.19,-19.41,-9.64,0.73,6.5858183,3.193,0.214,"['RSI=37.8 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=1.4%(買いシグナル)', '1ヶ月モメンタム -19.4%(強い下落)']"
2015.HK,65.25,HOLD,-5,41.5,-0.407,68.32,67.8,11.5,-8.49,-9.06,-1.21,0.59,21.069834,-0.998,-0.35,"['RSI=41.5 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=11.5%(買いシグナル)']"
047810.KS,170100.0,HOLD,-5,45.6,-1383.625,182765.0,170570.0,18.1,-15.79,-3.13,56.34,0.5,32.32401,4.13,0.34,"['RSI=45.6 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=18.1%(買いシグナル)']"
010120.KS,834000.0,BUY,30,63.1,9198.924,754107.57,640039.43,81.5,9.45,15.97,77.78,0.57,41.564945,0.328,0.121,"['RSI=63.1 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)', 'BB上限付近 bb_pct=81.5%(売りシグナル)', '1ヶ月モメンタム +16.0%(強い上昇)']"
006800.KS,62200.0,HOLD,-5,50.0,-1508.554,67245.11,51146.85,17.7,-9.99,-7.86,177.22,0.37,19.54712,,13.817,"['RSI=50.0 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=17.7%(買いシグナル)']"
000810.KS,458000.0,SELL,-30,39.8,-3911.138,499700.0,504280.0,17.3,-4.08,-18.94,-6.15,0.38,8.083798,-0.09,-0.025,"['RSI=39.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=17.3%(買いシグナル)', '1ヶ月モメンタム -18.9%(強い下落)']"
0003.HK,7.08,HOLD,-5,35.6,-0.042,7.47,7.42,-14.1,-2.48,-7.93,0.43,0.86,20.465977,0.021,-0.042,"['RSI=35.6 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=-14.1%(買いシグナル)']"
0992.HK,8.94,HOLD,-5,40.4,-0.049,9.43,9.19,-13.4,-5.8,-6.19,-3.56,0.5,7.96425,-0.271,0.181,"['RSI=40.4 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=-13.4%(買いシグナル)']"
298040.KS,2629000.0,BUY,30,53.8,1653.231,2616400.0,2426720.0,52.1,3.26,-4.19,42.72,0.44,23.114658,0.922,0.109,"['RSI=53.8 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)']"
